Example	Perfect	Aspect	Transitivity	Lex_group	Location	Gender
a • praskO e imAlo tri čEtri 	AUX	not_perf	intrans	modal		
imAli smo i kobIlu i krAve i ((?)) ••• svInje i ((?)) 	AUX	not_perf	trans	non_modal		
pa se bEoše utikAli tIja kUrjaci nE i imAlo • pa sƏg se Opet ponovIše 	No_AUX	not_perf	intrans	modal		
kad sam jA dOša nO si imAlo •• godžA ljUdi tUj 	AUX	not_perf	intrans	modal		
jA kad sam bilA u bAlinci imAla sam bAbu onA cEl pOst ako su sEdəm nEdelje svE onA tOj pOsti 	AUX	not_perf	trans	non_modal		
sƏd svE po škOlu • al si nE imAlo š/ imAlo i tAg samo čEtri rAzreda škOla 	No_AUX	not_perf	intrans	modal		
sƏd svE po škOlu • al si nE imAlo š/ imAlo i tAg samo čEtri rAzreda škOla 	No_AUX	not_perf	intrans	modal		
tAm •• tAm je imAlo i škOla i cRkva 	AUX	not_perf	intrans	modal		
nE imAlo tAg pOp tAm • i smo ju nosIli u gOrnje zUniće u cRkvu ta kRštena 	No_AUX	not_perf	intrans	modal		
i takOj onAm bAva dAra je u nosIla u ljUljḱe onO nE imAlo sIne Ozila pa smo pEšḱe Išli •••• pa znAš u petrOvdan d Ima cRkva u dOlnje zUniće 	No_AUX	not_perf	intrans	modal		
imAlo i dOle pOp Isto u/ u gOrnje zUniće • u dOlnje mOra da nE imAlo pOp 	No_AUX	not_perf	intrans	modal		
imAlo i dOle pOp Isto u/ u gOrnje zUniće • u dOlnje mOra da nE imAlo pOp 	No_AUX	not_perf	intrans	modal		
ljUljḱe pa se ((laugh)) ljUljalo onO im je bAš imAlo vEliko dRvo kod ((?)) tAj spAsovdan 	AUX	not_perf	intrans	modal		
al je imAlo jA kad sam dOšla u šarbAnovac onO imAlo devojčIći pUno a sƏg 	AUX	not_perf	intrans	modal		
al je imAlo jA kad sam dOšla u šarbAnovac onO imAlo devojčIći pUno a sƏg 	AUX	not_perf	intrans	modal		
nEma nIšta •••• • bIlo si selO •• ljUdi imAlo a s/ ••• pOsle ednO se Istikrnu se •• Odseli i takO 	No_AUX	not_perf	intrans	modal		
jA kad sam dOšla u šarbAnovac imAla sam svEkra svekRvu pa smo čuvAli po čEtri krAve pa imAl svEkar magAre 	AUX	not_perf	trans	non_modal		
maa jedE si prIlično • al e takOj poslUšamo se s njEg mI smo imAli na bRdo pojAtu pa odAvna se zbirAlo Ovce 	AUX	not_perf	trans	non_modal		
pa ((?)) s/ stOpi se sIr pa tUrimo brAšno pa okrEḱamo onO otpUšti mAslo pa • jAko tOj fIno jed/ •• kad smo imAli krAvu jA sam si čEsto pravIla 	AUX	not_perf	trans	non_modal		
imAli u drečInovac pa smo se mučIli mlOgo sIne 	AUX	not_perf	trans	non_modal		
dvOica smo bIli i brAta səm imAla pa • 	AUX	not_perf	trans	non_modal		
detE mAnecko paa • svEkar moj na kRkače nOsi po pOlje nE imAlo vOzila 	No_AUX	not_perf	intrans	modal		
poznAvanje prIrode kvO li je imAlo 	AUX	not_perf	intrans	modal		
pa • skupe se • tƏg nE imAlo 	No_AUX	not_perf	intrans	modal		
se slAvi • nE imAlo televIzor i nE imAlo nIšta 	No_AUX	not_perf	intrans	modal		
se slAvi • nE imAlo televIzor i nE imAlo nIšta 	No_AUX	not_perf	intrans	modal		
takvU pogAčaa • gibAnica Ono nE imAlo tOrte ((laugh)) təgAj 	No_AUX	not_perf	intrans	modal		
pa imAlo si po knjAževac imAlo 	No_AUX	not_perf	intrans	modal		
pa imAlo si po knjAževac imAlo 	No_AUX	not_perf	intrans	modal		
((XXX)) jA kəd sam bIla nE bilO mI smo si imAli svE 	No_AUX	not_perf	trans	non_modal		
imAli smo svE 	AUX	not_perf	trans	non_modal		
tOj si se vIše plAtno kupUvalo imAlo mlOgo prodAvnice pa 	No_AUX	not_perf	intrans	modal		
zelEno praIli Ima kO e praIl u fArbu imAlo se Ono kUpi i vArbice i 	No_AUX	not_perf	intrans	modal		
Eto i jAstuci i kUpeni dObro jA səm si • jA səm pOsle si naučIla da šUpkam pa səm imAla svE i šUpkano 	AUX	not_perf	trans	non_modal		
sAmo koštAlo i tOj sAmo Eto tOj nEsmo računAli što smo si imAli od svoE 	AUX	not_perf	trans	non_modal		
pa i na lAmpu no nE imAlo sIjalica • nego na lAmpu 	No_AUX	not_perf	intrans	modal		
čaršAvi səm si imAla dvA šUpkavi pa •• jAstuci čEtri pa 	AUX	not_perf	trans	non_modal		
ali eto jA nEsam nIšta tOj sačuvAla svE səm imAla sƏg za detE smo mUke mučIli 	AUX	not_perf	trans	non_modal		
i takOj a ovak preko nEdelju nE imAlo zamrzivačI po 	No_AUX	not_perf	intrans	modal		
skUvu se jAja sIr tOj smo imAli čuvAli smo sto si stOku 	AUX	not_perf	trans	non_modal		
jA nesAm dEdu imAla al imAl tu komšIja tUj 	AUX	not_perf	trans	non_modal		
pOsle smo mI imAli i onOj 	AUX	not_perf	trans	non_modal		
onO s nE imAlo vOzilo pa ni d izvezEš 	No_AUX	not_perf	intrans	modal		
po četrEs kIla səm jA nosIla ovdEk imAla si mlekAra kod nAs ((XXX)) kupuvAli 	AUX	not_perf	trans	non_modal		
nE imalo kOj mUž mi bIl bOlan pOsle se pOtika 	No_AUX	not_perf	intrans	modal		
si mUž i ženA mIslim Imali i qErku pa tu pa onA 	AUX	not_perf	trans	non_modal		
((?)) vOdu u lAvor • Ono nE imAlo tƏg 	No_AUX	not_perf	intrans	modal		
nEgde se posečU pAre nEgde kOlko smo imAli takOj ta smo povrljAli •• štO ne dobrO 	AUX	not_perf	trans	non_modal		
ali mI smo si i tAm kƏd səm bilA mOi si kupuvAli Uvek səm smo imAli 	AUX	not_perf	trans	non_modal		
pa kad je bilO pRvi mAj •• tUj nE imAlo lepOta na b/ na branIk 	No_AUX	not_perf	intrans	modal		
vOle si ovdE kod mEne al jA si i pa čUvam pa imAlo sIne svEe 	No_AUX	not_perf	intrans	modal		
pa smo imAli krAve pa imAlo Ovce dvE trI krAve pa stOka imAlo pa sIr imAlo hA a sAg nEma 	AUX	not_perf	intrans	modal		
pa smo imAli krAve pa imAlo Ovce dvE trI krAve pa stOka imAlo pa sIr imAlo hA a sAg nEma 	AUX	not_perf	intrans	modal		
sIr imAlo kOlko Oćeš da da jedEš i prodavAli smo i svE tOj i svE imAlo 	AUX	not_perf	intrans	modal		
tOj nEma srEda nEma sUbota da jA nEsam Išla na pIjac ali smo radEli imAli 	AUX	not_perf	trans	non_modal		
i imAla sam jEdan plEten ćilIm 	AUX	not_perf	trans	non_modal		
i One i jA sam jo pokazAl dobIla sam za njEg nAgradu • kad sam plEla samo • Imam i imAla sam ali samo sIne sam 	AUX	not_perf	trans	non_modal		
u škOlu sam Išla dn/ bilA sam dObar đAk nIsam bIla poslEdnja sve sam imAla petIce u škOlu hU hU 	AUX	not_perf	trans	non_modal		
pa Avioni i Ovəj Əvaj a i tAg sam pamtIla Avioni imAlo kad bilI ratuvAli kad bombarduvAli bEograd nAjviše 	AUX	not_perf	intrans	modal		
hə nE imAlo pšenIčno nE imAlo bElo brAšno kakO sAg što nEgo kukUruzno • pa se mešAlo sas • drUgo žIto jOš 	No_AUX	not_perf	intrans	modal		
hə nE imAlo pšenIčno nE imAlo bElo brAšno kakO sAg što nEgo kukUruzno • pa se mešAlo sas • drUgo žIto jOš 	No_AUX	not_perf	intrans	modal		
zaštO smo pa Išli dOle jA nE znam imAlo tAg nEka vOjska 	AUX	not_perf	intrans	modal		
pa kad ••• odAvna tOj kad je bilO • p tIja partizAni drAžini • nE imAlo • vRšelica da se vršE 	No_AUX	not_perf	intrans	modal		
sItni hƏ ne nE imAlo mAšine da se dadU nE znam zaštOj tAg takOj bilO imAlo vRšelica imAlo svE ali nesU dAli 	No_AUX	not_perf	intrans	modal		
sItni hƏ ne nE imAlo mAšine da se dadU nE znam zaštOj tAg takOj bilO imAlo vRšelica imAlo svE ali nesU dAli 	No_AUX	not_perf	intrans	modal		
onO imAlo sIne i da se jedE tAg je imAlo bOže 	No_AUX	not_perf	intrans	modal		
onO imAlo sIne i da se jedE tAg je imAlo bOže 	No_AUX	not_perf	intrans	modal		
i kupIli smo ovdEkaj •• i tUj smo napravIli Aa i i gOre smo imAli mI nOvu kUću 	AUX	not_perf	trans	non_modal		
a ovdEkaj smo pravIli tO bilO goi/ golO •• nE imAlo nIšta •• svE smo tOj hIk napravIli ali sAg •• se rUši nEma kOj tUj da ((laugh)) 	No_AUX	not_perf	intrans	modal		
jA si jAko vOlim sIne da sadIm cvEće nEko da je ••• šta j sam jA imAla od lAni cvEće •• tUj svAšta 	AUX	not_perf	trans	non_modal		
kad smo mI tOj praIli pa tOj imAlo sss 	AUX	not_perf	intrans	modal		
imAli smI •• dvE trI krAve smo imAli pa tOj sIr Uu pa kad •• naprAim gibAnicu • onO vIše sIr u nju nEgo li 	AUX	not_perf	trans	non_modal		
bogorOdica je bilO gOre onO si i sAg gOre sAg ponovIše ga nA kvO i praIli jA nE znam kO su izvEli i vOdu gOre i svE a nE imAlo vodA sAd napraIli još nEku zgrAdu 	No_AUX	not_perf	intrans	modal		
odAvna sIne ((laugh)) • imAlo •• imAli smo pRvi put još kad sam bi/ bIla jA detE na cEv pa tAg lAnac pa okrEćeš 	AUX	not_perf	intrans	modal		
jA nE znam ((laugh)) brE dalI smo imAli i tIkvice ta dalI smo sadIli nE znam 	AUX	not_perf	trans	non_modal		
Oo kAkve sam imAla sAg slAtke ljUdi bOžji • da sam imAla tIkve tek ama šEćer ti dAl bOg Ej • od slAtko 	AUX	not_perf	trans	non_modal		
Oo kAkve sam imAla sAg slAtke ljUdi bOžji • da sam imAla tIkve tek ama šEćer ti dAl bOg Ej • od slAtko 	AUX	not_perf	trans	non_modal		
od slAtko •• rEko do sƏg nesAm imAla ovAkve tIkve brE slAtke •• kakO sAg 	AUX	not_perf	trans	non_modal		
imAlo si • ne pO Odavja i jA tOj ostarEla sam jA v još i v sas pirInač se odAvna praIlo kod 	AUX	not_perf	intrans	modal		
imAlo nO si imAlo i odAvna samo nE se • nE se spremAlo •• niti turšIje se spremAle kakO sƏg što se sprEma 	AUX	not_perf	intrans	modal		
bilO zdrAvo nE imAlo prAškovi nE imAlo nIšta pa tAj paprIka zdrAva 	No_AUX	not_perf	intrans	modal		
bilO zdrAvo nE imAlo prAškovi nE imAlo nIšta pa tAj paprIka zdrAva 	No_AUX	not_perf	intrans	modal		
pa si tAg/ nE se kupuvAlo k/ sIrḱe kakO sƏg •• nego si •• odAvna imAlo u bUre mI smo u bUre imAli sIrke 	AUX	not_perf	intrans	modal		
pa si tAg/ nE se kupuvAlo k/ sIrḱe kakO sƏg •• nego si •• odAvna imAlo u bUre mI smo u bUre imAli sIrke 	AUX	not_perf	intrans	modal		
al smo mI imAli u ednU šUmu tAm tEj skOruše • pa i tAg nanIžemo na konAc el na prUt ovAk na drvcE se nanIže i tUriš na sUnce i onO se isUši •• i tOj se takOj i • i jEli smo jEli tOj •• sUve šljIve •••• aaa •• sAg onO u sušAre 	AUX	not_perf	trans	non_modal		
svE si imAlo i i odAvna kakO sAg samo drUkše se spremAlo 	AUX	not_perf	intrans	modal		
tOj se pržIle jAja tOj gibAnice tOj takvO se spremAlo pečEnje nE znam nE imAlo ali nAjviše sIr i jAja • se n nosIl na tagAj ta se • n n doručkuvAlo 	No_AUX	not_perf	intrans	modal		
mI gOre de smo bili onO imAlo klAdanac •• i sAg si ga Ima tAj klAdanac 	AUX	not_perf	intrans	modal		
i za eremIju Uvek jAgnje imAlo e za prokOpje • onO nEgde i prAse bUde ali klAli smo si i tAg jAganjci čuvAli smo jAganjci 	AUX	not_perf	intrans	modal		
pa kad je bilO pRvi mAj •• tUj nE imAlo lepOta na b/ na branIk 	No_AUX	not_perf	intrans	modal		
vOle si ovdE kod mEne al jA si i pa čUvam pa imAlo sIne svEe 	No_AUX	not_perf	intrans	modal		
pa smo imAli krAve pa imAlo Ovce dvE trI krAve pa stOka imAlo pa sIr imAlo hA a sAg nEma 	AUX	not_perf	intrans	modal		
pa smo imAli krAve pa imAlo Ovce dvE trI krAve pa stOka imAlo pa sIr imAlo hA a sAg nEma 	AUX	not_perf	intrans	modal		
sIr imAlo kOlko Oćeš da da jedEš i prodavAli smo i svE tOj i svE imAlo 	AUX	not_perf	intrans	modal		
tOj nEma srEda nEma sUbota da jA nEsam Išla na pIjac ali smo radEli imAli 	AUX	not_perf	trans	non_modal		
i imAla sam jEdan plEten ćilIm 	AUX	not_perf	trans	non_modal		
i One i jA sam jo pokazAl dobIla sam za njEg nAgradu • kad sam plEla samo • Imam i imAla sam ali samo sIne sam 	AUX	not_perf	trans	non_modal		
u škOlu sam Išla dn/ bilA sam dObar đAk nIsam bIla poslEdnja sve sam imAla petIce u škOlu hU hU 	AUX	not_perf	trans	non_modal		
pa Avioni i Ovəj Əvaj a i tAg sam pamtIla Avioni imAlo kad bilI ratuvAli kad bombarduvAli bEograd nAjviše 	AUX	not_perf	intrans	modal		
hə nE imAlo pšenIčno nE imAlo bElo brAšno kakO sAg što nEgo kukUruzno • pa se mešAlo sas • drUgo žIto jOš 	No_AUX	not_perf	intrans	modal		
hə nE imAlo pšenIčno nE imAlo bElo brAšno kakO sAg što nEgo kukUruzno • pa se mešAlo sas • drUgo žIto jOš 	No_AUX	not_perf	intrans	modal		
zaštO smo pa Išli dOle jA nE znam imAlo tAg nEka vOjska 	AUX	not_perf	intrans	modal		
pa kad ••• odAvna tOj kad je bilO • p tIja partizAni drAžini • nE imAlo • vRšelica da se vršE 	No_AUX	not_perf	intrans	modal		
sItni hƏ ne nE imAlo mAšine da se dadU nE znam zaštOj tAg takOj bilO imAlo vRšelica imAlo svE ali nesU dAli 	No_AUX	not_perf	intrans	modal		
sItni hƏ ne nE imAlo mAšine da se dadU nE znam zaštOj tAg takOj bilO imAlo vRšelica imAlo svE ali nesU dAli 	No_AUX	not_perf	intrans	modal		
onO imAlo sIne i da se jedE tAg je imAlo bOže 	No_AUX	not_perf	intrans	modal		
onO imAlo sIne i da se jedE tAg je imAlo bOže 	No_AUX	not_perf	intrans	modal		
i kupIli smo ovdEkaj •• i tUj smo napravIli Aa i i gOre smo imAli mI nOvu kUću 	AUX	not_perf	trans	non_modal		
a ovdEkaj smo pravIli tO bilO goi/ golO •• nE imAlo nIšta •• svE smo tOj hIk napravIli ali sAg •• se rUši nEma kOj tUj da ((laugh)) 	No_AUX	not_perf	intrans	modal		
jA si jAko vOlim sIne da sadIm cvEće nEko da je ••• šta j sam jA imAla od lAni cvEće •• tUj svAšta 	AUX	not_perf	trans	non_modal		
kad smo mI tOj praIli pa tOj imAlo sss 	AUX	not_perf	intrans	modal		
imAli smI •• dvE trI krAve smo imAli pa tOj sIr Uu pa kad •• naprAim gibAnicu • onO vIše sIr u nju nEgo li 	AUX	not_perf	trans	non_modal		
bogorOdica je bilO gOre onO si i sAg gOre sAg ponovIše ga nA kvO i praIli jA nE znam kO su izvEli i vOdu gOre i svE a nE imAlo vodA sAd napraIli još nEku zgrAdu 	No_AUX	not_perf	intrans	modal		
odAvna sIne ((laugh)) • imAlo •• imAli smo pRvi put još kad sam bi/ bIla jA detE na cEv pa tAg lAnac pa okrEćeš 	AUX	not_perf	intrans	modal		
jA nE znam ((laugh)) brE dalI smo imAli i tIkvice ta dalI smo sadIli nE znam 	AUX	not_perf	trans	non_modal		
Oo kAkve sam imAla sAg slAtke ljUdi bOžji • da sam imAla tIkve tek ama šEćer ti dAl bOg Ej • od slAtko 	AUX	not_perf	trans	non_modal		
Oo kAkve sam imAla sAg slAtke ljUdi bOžji • da sam imAla tIkve tek ama šEćer ti dAl bOg Ej • od slAtko 	AUX	not_perf	trans	non_modal		
od slAtko •• rEko do sƏg nesAm imAla ovAkve tIkve brE slAtke •• kakO sAg 	AUX	not_perf	trans	non_modal		
imAlo si • ne pO Odavja i jA tOj ostarEla sam jA v još i v sas pirInač se odAvna praIlo kod 	AUX	not_perf	intrans	modal		
imAlo nO si imAlo i odAvna samo nE se • nE se spremAlo •• niti turšIje se spremAle kakO sƏg što se sprEma 	AUX	not_perf	intrans	modal		
bilO zdrAvo nE imAlo prAškovi nE imAlo nIšta pa tAj paprIka zdrAva 	No_AUX	not_perf	intrans	modal		
bilO zdrAvo nE imAlo prAškovi nE imAlo nIšta pa tAj paprIka zdrAva 	No_AUX	not_perf	intrans	modal		
pa si tAg/ nE se kupuvAlo k/ sIrḱe kakO sƏg •• nego si •• odAvna imAlo u bUre mI smo u bUre imAli sIrke 	AUX	not_perf	intrans	modal		
pa si tAg/ nE se kupuvAlo k/ sIrḱe kakO sƏg •• nego si •• odAvna imAlo u bUre mI smo u bUre imAli sIrke 	AUX	not_perf	intrans	modal		
al smo mI imAli u ednU šUmu tAm tEj skOruše • pa i tAg nanIžemo na konAc el na prUt ovAk na drvcE se nanIže i tUriš na sUnce i onO se isUši •• i tOj se takOj i • i jEli smo jEli tOj •• sUve šljIve •••• aaa •• sAg onO u sušAre 	AUX	not_perf	trans	non_modal		
svE si imAlo i i odAvna kakO sAg samo drUkše se spremAlo 	AUX	not_perf	intrans	modal		
tOj se pržIle jAja tOj gibAnice tOj takvO se spremAlo pečEnje nE znam nE imAlo ali nAjviše sIr i jAja • se n nosIl na tagAj ta se • n n doručkuvAlo 	No_AUX	not_perf	intrans	modal		
mI gOre de smo bili onO imAlo klAdanac •• i sAg si ga Ima tAj klAdanac 	AUX	not_perf	intrans	modal		
i za eremIju Uvek jAgnje imAlo e za prokOpje • onO nEgde i prAse bUde ali klAli smo si i tAg jAganjci čuvAli smo jAganjci 	AUX	not_perf	intrans	modal		
ej nE imAlo se kUpi pomUk ne ((?)) Ovaj pamUšno 	No_AUX	not_perf	intrans	modal		
jA dEcu nIsam Imala 	AUX	not_perf	trans	non_modal		
pEnziju nEmam nIsam umEa ni da uplAtim odAvno je imAlo do tOlko onO ni nIje tOj te gOdin tO nIje vlAdalo ni nIje se znAlo 	AUX	not_perf	intrans	modal		
tOj nE imAlo kUpeno ne se tOj 	No_AUX	not_perf	intrans	modal		
tOj su prOju nesU imAli ((?)) da pomEšaju 	AUX	not_perf	trans	non_modal		
a mI smo imAli ovdE njIvu 	AUX	not_perf	trans	non_modal		
jAo mAni ne pItaj svekrvA kakO je živEla imAla stArca 	AUX	not_perf	trans	non_modal		
pa kAd sam došlA nEma nIšta ma golI brE bilI golI ko #Injaci# bilI nesU imAli a onO 	AUX	not_perf	trans	non_modal		
imAlo devOjke ali nE ga tEla nijednA 	No_AUX	not_perf	intrans	modal		
i tAmo imAli smo kRs 	AUX	not_perf	trans	non_modal		
Ide smejAnje Ide pa aa jA sam imAla bAbu 	AUX	not_perf	trans	non_modal		
ali imAlo je tEj 	AUX	not_perf	intrans	modal		
tO svE nEe nEje imAlo 	AUX	not_perf	intrans	modal		
pa spremAla sam kad imAlo sIr 	AUX	not_perf	intrans	modal		
no drUgo nE imAlo bOg znA onO ne 	No_AUX	not_perf	intrans	modal		
gazdUrine mOžda su imAli ali nE ti tAd ni imAlo o tə 	AUX	not_perf	trans	non_modal		
gazdUrine mOžda su imAli ali nE ti tAd ni imAlo o tə 	AUX	not_perf	trans	non_modal		
onO tAd nE imAlo eto 	No_AUX	not_perf	intrans	modal		
onO tAd nE imAlo dEca kvO da kUpi pa da ti nekakvO 	No_AUX	not_perf	intrans	modal		
nemAnje pa nesAm na pRvo mEsto knjIge imAla 	AUX	not_perf	trans	non_modal		
istOrija si je Isto imAlo 	AUX	not_perf	intrans	modal		
imAlo si Isto sRpski matemAtika 	No_AUX	not_perf	intrans	modal		
kO jAk bIl da si mOgal kUpi a jA nesam imAla onE 	AUX	not_perf	trans	non_modal		
po tOj sam imAla tUj knjIžičku ot 	AUX	not_perf	trans	non_modal		
nesAm s imAla 	AUX	not_perf	trans	non_modal		
onO nE imAlo mašIna nE imAlo 	No_AUX	not_perf	intrans	modal		
onO nE imAlo mašIna nE imAlo 	No_AUX	not_perf	intrans	modal		
tU gOre rEdom je imAlo 	AUX	not_perf	intrans	modal		
nEka bojA imAlo kakvO li je 	No_AUX	not_perf	intrans	modal		
a mI u no nE imAlo tAd ni 	No_AUX	not_perf	intrans	modal		
nE imAlo mUž mo 	No_AUX	not_perf	intrans	modal		
((laugh)) a mEne nE imAlo kOj da čUva 	No_AUX	not_perf	intrans	modal		
tO je mlOgo imAli prAznici pa 	AUX	not_perf	trans	non_modal		
pa imAli smo u kAlnu ovUj u 	AUX	not_perf	trans	non_modal		
pa s onO svE imAlo tə/ nIšta nE imAlo 	No_AUX	not_perf	intrans	modal		
odEkaj u ovUj prodAvnicu nE imAlo da se kupUje mIxim 	No_AUX	not_perf	intrans	modal		
onO tAk nE imAlo 	No_AUX	not_perf	intrans	modal		
tI si čUl onO odAvna nE imAlo 	No_AUX	not_perf	intrans	modal		
ali tOj nE imAlo 	No_AUX	not_perf	intrans	modal		
vodenIcu smo imAli 	AUX	not_perf	trans	non_modal		
ovdEkaj prEma kAlnu nE imAlo odOvde i bə niz klisUru nE imAlo 	No_AUX	not_perf	intrans	modal		
ovdEkaj prEma kAlnu nE imAlo odOvde i bə niz klisUru nE imAlo 	No_AUX	not_perf	intrans	modal		
tO ovdE nE imAlo uOpše 	No_AUX	not_perf	intrans	modal		
imAli smo si vEzu dOk 	AUX	not_perf	trans	non_modal		
ne ((?)) u iz Opštinu nE imAlo 	No_AUX	not_perf	intrans	modal		
ne zAm ne mOžda je Imalo mOža jA ne pAmtim vOjo 	AUX	not_perf	intrans	modal		
mOžda je tO ponaprEd imAlo 	No_AUX	not_perf	intrans	modal		
da nE imAlo 	No_AUX	not_perf	intrans	modal		
zEjtin nE imAlo 	No_AUX	not_perf	intrans	modal		
dObro onO Ima z nE imAlo tƏg 	No_AUX	not_perf	intrans	modal		
nIsmo imAli prAšak nIsmo imAli tOlko sapUn sapUn sAsvim ((XXX)) 	AUX	not_perf	trans	non_modal		
nIsmo imAli prAšak nIsmo imAli tOlko sapUn sapUn sAsvim ((XXX)) 	AUX	not_perf	trans	non_modal		
kOd nas ovdEk nE imAlo tOj 	No_AUX	not_perf	intrans	modal		
kOd nas ovdE nE imAlo 	No_AUX	not_perf	intrans	modal		
Imali smo ednU pojAtu tUj blIzo 	AUX	not_perf	trans	non_modal		
onO naprEd nEsmo imAli ni rAdija ni 	AUX	not_perf	trans	non_modal		
onO nE imAlo svEtlo nEgo 	No_AUX	not_perf	intrans	modal		
pəs s mI nesmO imAli igrAčke 	AUX	not_perf	trans	non_modal		
nE imAla zImnica da se stAvi 	AUX	not_perf	trans	non_modal		
ali nE imAlo ovakvE plAstične 	No_AUX	not_perf	intrans	modal		
nE imAlo tA kao sAd štO se 	No_AUX	not_perf	intrans	modal		
nE imAlo kao sAd sAmo pečEnje 	No_AUX	not_perf	intrans	modal		
nEma/ nE imAlo kao sAd 	No_AUX	not_perf	intrans	modal		
i Idemo u cRkvu onO naprEd nE imAlo 	No_AUX	not_perf	intrans	modal		
jA sam se bAš udAla kAd bilO rAt nesAm imAla 	AUX	not_perf	trans	non_modal		
tOj nE imAlo pAre tƏg nEgo 	No_AUX	not_perf	intrans	modal		
pOsle sam imAla dEvera i sƏg si ga Imam jOš mi žIv dEver 	AUX	not_perf	trans	non_modal		
imAla sam dEvera ((XXX)) 	AUX	not_perf	trans	non_modal		
mOj sIn jA s jednogA sam imAla mOj sIn kAd je 	AUX	not_perf	trans	non_modal		
jednU nAšu nekU rOdninu ta nesU imAli dEcu i mI smo i dočuvAli 	AUX	not_perf	trans	non_modal		
pa za mađIje ne znAm da li je znAla nekA bAba a imAlo tUj bAbe 	No_AUX	not_perf	intrans	modal		
ovdE nE imAlo nIšta 	No_AUX	not_perf	intrans	modal		
nE imAlo kOj da ga čUva 	No_AUX	not_perf	intrans	modal		
nEam nOvosti nIšta tO je svE štO sam imAla 	AUX	not_perf	trans	non_modal		
nIsmo Imali mi ((XXX)) nEgo s krAve 	AUX	not_perf	trans	non_modal		
tO kAd smo čuvAli pOviše ((XXX)) səm imAla 	AUX	not_perf	trans	non_modal		
a kOd nas tAmo kAd sam se jA oženIla tAg strujA imAlo 	AUX	not_perf	intrans	modal		
onOj vodA nE imAlo ni o tAm de još ((XXX)) vodA ((XXX)) 	No_AUX	not_perf	intrans	modal		
ne je imAlo svAḱi dƏn 	AUX	not_perf	intrans	modal		
imalo sam ovAm kOd komšIje od njI smo okAli 	AUX	not_perf	intrans	modal		
tO odAvna bilO imAla su si i drUga decA znAš tə 	AUX	not_perf	trans	non_modal		
a vi ste imAli tAmo 	AUX	not_perf	trans	non_modal		
tUj imAlo i bIoskop pa su dOla/ dolazIli 	No_AUX	not_perf	intrans	modal		
imAla ti je i rUdnička mUzika 	AUX	not_perf	trans	non_modal		
nE imAlo əč i tAg ovO kAo sAg što i kAd bUdu vAšari 	No_AUX	not_perf	intrans	modal		
tAg nE imAlo meterolOzi 	No_AUX	not_perf	intrans	modal		
imAli smo samo ovOj ovO mi ḱErka štO bIla sAd 	AUX	not_perf	trans	non_modal		
tag nE imAlo kO sAg 	No_AUX	not_perf	intrans	modal		
tAg Imali čaršAve ali znAš štA je onO tƏg 	AUX	not_perf	trans	non_modal		
pa tOg imAli su mAli onIja znAš tOj 	AUX	not_perf	trans	non_modal		
pa posedImo dOk posedImo nE imAlo rAdijo nE imAlo 	No_AUX	not_perf	intrans	modal		
pa posedImo dOk posedImo nE imAlo rAdijo nE imAlo 	No_AUX	not_perf	intrans	modal		
televIzija nE imAlo nIšta 	No_AUX	not_perf	intrans	modal		
e pə imAlo tAg sedEnjke znAš te 	No_AUX	not_perf	intrans	modal		
e kvO imAlo pa bIlo znAš tOj 	No_AUX	not_perf	intrans	modal		
nE imAlo strUja a sAg 	No_AUX	not_perf	intrans	modal		
tO je slO imAlo 	AUX	not_perf	intrans	modal		
tO je sElo imAlo 	AUX	not_perf	intrans	modal		
u orEšac mI nesmO imAli škOlu da su decA išlA 	AUX	not_perf	trans	non_modal		
ne ne onI si tAmo imAli hrAnu samo se tag uzimAlo 	AUX	not_perf	intrans	modal		
tOj imAlo je u 	AUX	not_perf	intrans	modal		
Iamo imAlo 	No_AUX	not_perf	intrans	modal		
imAlo je kOd Ispod živOtinu vIkendicu nEk onOj p ovOj 	AUX	not_perf	intrans	modal		
a nE imAla rAnije ni mašIna 	No_AUX	not_perf	intrans	modal		
sas imAli smo konjA 	AUX	not_perf	trans	non_modal		
zab ako te i zabOli stomAk odAvno nE Imal dOktur 	AUX	not_perf	trans	non_modal		
dOkturi tolkO odAvno nesU imAli a sƏg 	AUX	not_perf	trans	non_modal		
Imalo u knjIgu tOj su 	No_AUX	not_perf	intrans	modal		
i tam je radEl imAli nEki prOfesori 	AUX	not_perf	trans	non_modal		
mAjka imAla sam mAjku Otac mi bIl Isto 	AUX	not_perf	trans	non_modal		
((?)) a nE imAlo ednO vrEme nesmO imAli telavIzor 	No_AUX	not_perf	intrans	modal		
((?)) a nE imAlo ednO vrEme nesmO imAli telavIzor 	No_AUX	not_perf	intrans	modal		
Onda bilO ni su imAli dUšeci nIsu imAli nIsu imAli ovIja krEveti slAmarice 	AUX	not_perf	trans	non_modal		
Onda bilO ni su imAli dUšeci nIsu imAli nIsu imAli ovIja krEveti slAmarice 	AUX	not_perf	trans	non_modal		
Onda bilO ni su imAli dUšeci nIsu imAli nIsu imAli ovIja krEveti slAmarice 	AUX	not_perf	trans	non_modal		
nE imAlo kao sAd 	No_AUX	not_perf	intrans	modal		
((?)) nE imAlo kAva da se pIje 	No_AUX	not_perf	intrans	modal		
nE imAlo kAva da se pIje 	No_AUX	not_perf	intrans	modal		
a sAd ovOj rAdničko odElo sa iskoćIlo pa kupUju rAdničko odElo pre nE imAlo 	No_AUX	not_perf	intrans	modal		
